date,time,latitude,longitude
2024-12-14,13:56:47,19.0464550,72.9195600
2024-12-14,13:56:48,19.0464120,72.9195350
2024-12-14,13:56:49,19.0463730,72.9195110
2024-12-14,13:56:50,19.0463470,72.9194870
2024-12-14,13:56:51,19.0463320,72.9194780
2024-12-14,13:56:52,19.0463220,72.9194710
2024-12-14,13:56:53,19.0462970,72.9194520
2024-12-14,13:56:54,19.0462870,72.9194440
2024-12-14,13:56:55,19.0462580,72.9194210
2024-12-14,13:56:56,19.0462320,72.9193970
2024-12-14,13:56:57,19.0462100,72.9193720
2024-12-14,13:56:58,19.0461860,72.9193450
2024-12-14,13:56:59,19.0461500,72.9193120
2024-12-14,13:57:00,19.0461080,72.9192740
2024-12-14,13:57:01,19.0460670,72.9192380
2024-12-14,13:57:02,19.0460250,72.9192020
2024-12-14,13:57:03,19.0459860,72.9191690
2024-12-14,13:57:04,19.0459490,72.9191370
2024-12-14,13:57:05,19.0459110,72.9191040
2024-12-14,13:57:06,19.0458710,72.9190680
2024-12-14,13:57:07,19.0458290,72.9190300
2024-12-14,13:57:08,19.0457860,72.9189910
2024-12-14,13:57:09,19.0457440,72.9189520
2024-12-14,13:57:10,19.0457020,72.9189170
2024-12-14,13:57:11,19.0456650,72.9188820
2024-12-14,13:57:12,19.0456300,72.9188510
2024-12-14,13:57:13,19.0456020,72.9188250
2024-12-14,13:57:14,19.0455800,72.9188020
2024-12-14,13:57:15,19.0455750,72.9187970
2024-12-14,13:57:16,19.0455530,72.9187840
2024-12-14,13:57:17,19.0455400,72.9187720
2024-12-14,13:57:18,19.0455280,72.9187590
2024-12-14,13:57:19,19.0454980,72.9187310
2024-12-14,13:57:20,19.0454710,72.9187050
2024-12-14,13:57:21,19.0454400,72.9186800
2024-12-14,13:57:22,19.0454090,72.9186530
2024-12-14,13:57:23,19.0453730,72.9186240
2024-12-14,13:57:24,19.0453340,72.9185930
2024-12-14,13:57:25,19.0452950,72.9185670
2024-12-14,13:57:26,19.0452560,72.9185430
2024-12-14,13:57:27,19.0452170,72.9185230
2024-12-14,13:57:28,19.0451740,72.9185030
2024-12-14,13:57:29,19.0451320,72.9184860
2024-12-14,13:57:30,19.0450900,72.9184700
2024-12-14,13:57:31,19.0450480,72.9184520
2024-12-14,13:57:32,19.0450090,72.9184370
2024-12-14,13:57:33,19.0449720,72.9184210
2024-12-14,13:57:34,19.0449370,72.9184060
2024-12-14,13:57:35,19.0449020,72.9183880
2024-12-14,13:57:36,19.0448690,72.9183740
2024-12-14,13:57:37,19.0448400,72.9183700
2024-12-14,13:57:38,19.0448320,72.9183700
2024-12-14,13:57:39,19.0448130,72.9183710
2024-12-14,13:57:40,19.0447970,72.9183750
2024-12-14,13:57:41,19.0447820,72.9183790
2024-12-14,13:57:42,19.0447690,72.9183840
2024-12-14,13:57:43,19.0447520,72.9183970
2024-12-14,13:57:44,19.0447460,72.9184050
2024-12-14,13:57:45,19.0447390,72.9184130
2024-12-14,13:57:46,19.0447210,72.9184530
2024-12-14,13:57:47,19.0447160,72.9184690
2024-12-14,13:57:48,19.0447160,72.9184970
2024-12-14,13:57:49,19.0447120,72.9185100
2024-12-14,13:57:50,19.0446980,72.9185570
2024-12-14,13:57:51,19.0446730,72.9186370
2024-12-14,13:57:52,19.0446590,72.9186820
